番剧id,分数,评分人数,番剧名,番剧简介,播放次数,播放时间
6468,9.7,1139,"""牙狼 -VANISHING LINE-""","高度发展的都市，拉塞尔市。
在讴歌繁荣的这座城市中，动摇这个世界的巨大阴谋开始启动——
立刻察知阴谋...",1303701,"""2017-10-07"""
1869,9.7,1130,"""混沌武士""",故事发生在日本的江户时代。风是一个小酒馆的打工女。一日，酒馆里来了一群恶霸，虽然他们的举动令风十分不...,1606997,"""2004-05-19"""
3054,9.7,1109,"""游☆戏☆王 Duel Monsters""",《游☆戏☆王 Duel Monsters》改编自高桥和希所作的漫画《游戏王》，于2000-2004年...,9077131,"""2000-04-18"""
2131,9.7,1065,"""HELLSING OVA""",在《HELLSING》的漫画FANS及作者本人对于TV版的强烈批评之后，在2005年终于了出现性质上...,3055733,"""2006-02-10"""
877,9.7,1051,"""全职猎人""",全职猎人（HUNTERxHUNTER）是漫画家富坚义博的一部力作，在其天马行空的想象力下打造出了一个...,6148903,"""1999-10-16"""
1407,9.7,1044,"""樱兰高校男公关部""",私立樱兰高校是一所富家子弟云集的贵族学校。资助生春绯迷路进入第三音乐室，“不幸”遇到了“社交俱乐部”...,4226978,"""2006-04-04"""
5622,9.7,1044,"""我的青春恋爱物语果然有问题 续 OVA""",PSV游戏「果然在游戏里我的青春恋爱物语也有问题。续」2016年10月27日发售，限定版将同捆新作O...,1849244,"""2016-10-27"""
727,9.7,1042,"""食梦者""","【本片翻译由华盟字幕社提供】
故事场景设置在埼玉县谷草市。
抱着“无趣的未来，活着真麻烦”这样无所谓...",3205878,"""2010-10-02"""
3547,9.7,1001,"""樱Trick""",我好兴奋！！,1943586,"""2014-01-09"""
23043,9.7,995,"""OVERLORDⅡ SP""",OVERLORDⅡ特别篇Q版动画,5096550,"""2018-01-10"""
782,9.7,986,"""一起一起这里那里""",摘希虽然喜欢伊御，却没办法坦率的表现出来。伊御虽然不清楚摘希的心意，却还是温柔的对待她。两人的关系维...,3975943,"""2012-04-05"""
333,9.7,901,"""RWBY""",RWBY是一部在2013年7月播出的动作向动画，由美国动画工作室 Rooster Teeth的员工 ...,13497741,"""2013-07-18"""
6009,9.7,899,"""哆啦A梦""",《哆啦A梦》（Doraemon，日文名：ドラえもん），又称为《机器猫》，日本著名动漫，哆啦a梦是该故...,3087019,"""1979-04-02"""
4114,9.7,881,"""少女与战车 剧场版""",因为讨厌战车道，才转学到没有战车道的大冼女子学园的西住美穗，没想到才刚刚转学过来就被学生会长叫了过去...,428655,"""2016-05-27"""
1239,9.7,804,"""×××HOLiC""",《xxxHolic》讲述了高中生四月一日君寻在偶然的机缘下闯入闻名异世界的次元魔女——壹原侑子的魔法...,3208149,"""2006-04-06"""
1382,9.7,758,"""NANA""",【本片翻译由灵风工作室提供。因年代久远，无法联系到当时的字幕制作人，欢迎提供联系方式或联系该字幕负责...,2004337,"""2006-04-05"""
239,9.7,717,"""银之匙 Silver Spoon 第一季""",原本在大都市就读升学学校的八轩勇吾，因为某些因素，刻意前来就读位於乡下的农校－大虾夷高级农业职业学校...,3167095,"""2013-07-11"""
3860,9.7,649,"""魔卡少女樱 被封印的卡片""",封印的卡片是《魔卡少女樱》又名《百变小樱》或《库洛魔法使》《CardCaptor Sakura》的第...,871434,"""2000-07-15"""
6260,9.7,579,"""蜡笔小新 第一季（中文）""",野原新之助今年5岁，是一个人小鬼大的小孩。他喜欢漂亮的姐姐，收养了一条棉花糖一样的流浪狗小白。小新的...,4286113,"""1992-04-13"""
2069,9.7,565,"""十二国记""",少女终将为王,913494,"""2002-04-09"""
6295,9.7,553,"""蜡笔小新 第六季（中文）""",《蜡笔小新》（日语：クレヨンしんちゃん，英语：Crayon Shin-chan）是日本已故漫画家臼井...,4701421,"""2012-03-09"""
2013,9.7,514,"""奇诺之旅""",《奇诺之旅》，时雨泽惠一的作品之一。2000年3月に『电撃hp』Vol.6上刊载。现有小说14本，还...,880713,"""2003-04-08"""
6262,9.7,511,"""蜡笔小新 第二季（中文）""",野原新之助今年5岁了，不要以为他是那种懵懂无知的小孩，他其实人小鬼大。 小新喜欢漂亮的姐姐，收养了一...,4959136,"""1992-04-13"""
1292,9.7,503,"""天元突破 红莲螺岩 剧场版""",天元有着中央突破、王道路线的含意。 天元突破主要是呼应最终话“连天与次元都一并突破”此句，与围棋术语...,877431,"""2008-09-06"""
3317,9.7,486,"""蜂蜜与四叶草""","蜂蜜与四叶草讲述美大生─竹本裕太在贫穷与森田忍学长所带来的烦恼之中度过的大学生活。

有一天，竹本他...",1280583,"""2005-04-14"""
6184,9.7,485,"""RWBY Chibi 第二季""",RWBY Chibi is back for a second season of crazy hi...,1609336,"""2017-05-13"""
4555,9.7,451,"""你看起来很好吃""",被草食系恐龙母亲抚养长大的霸王龙 Heart 一天天长高长大，也一天天发现身边出现了很多害怕它的声音...,589728,"""2010-10-16"""
1565,9.7,438,"""攻壳机动队 S.A.C. 2nd GIG""",故事内容延续第一部TV版《攻壳机动队 STAND ALONE COMPLEX》的剧情继续发展。但TV...,896839,"""2004-01-01"""
